index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,target,target_by_group
B4_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,194,1.79596,3.279103,2.128118,2.133127,2.37612,2.380764,0.079757,2.09298,0.012919,0
B4_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,195,1.729697,2.739534,2.073426,2.078857,2.304319,2.30609,0.07881,1.918335,0.275784,2
B4_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,194,1.705707,3.34199,2.108404,2.108745,2.114909,2.115127,0.063996,2.10518,0.362773,2
B4_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,195,1.667209,2.502352,2.011977,2.012156,2.204966,2.205036,0.073152,1.882678,0.354381,2
B4_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,196,1.618887,2.317053,1.974172,1.974183,2.244729,2.244795,0.092836,1.63627,0.159993,1
B4_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,191,1.604498,2.145441,2.035577,2.035597,2.237156,2.23725,0.083845,1.279076,0.118344,1
B4_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,192,1.640509,3.047511,2.338963,2.339213,2.374172,2.374214,0.103533,1.006445,0.934206,2
B4_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,193,1.68523,3.817452,2.467645,2.467901,2.483304,2.483821,0.10914,1.001823,-0.163318,1
B4_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,191,1.860391,3.467379,2.281486,2.289401,2.38634,2.40651,0.068501,1.822856,-0.425824,2
B4_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,192,1.797242,3.297593,2.119915,2.123677,2.37239,2.374911,0.080097,2.167772,-0.454327,2
B4_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,195,1.746831,2.925142,2.089416,2.092972,2.264362,2.266966,0.06653,2.093812,-0.153994,1
B4_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,194,1.721151,3.353572,2.105312,2.105392,2.106389,2.106396,0.060678,2.393384,-0.035113,0
B4_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,189,1.700706,3.339354,2.102673,2.102703,2.10491,2.104942,0.063757,2.124898,0.022164,0
B4_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,190,1.645663,2.554112,1.99054,1.990609,2.229028,2.229163,0.084123,1.772558,-0.110988,1
B4_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,191,1.617022,2.410445,2.034473,2.034513,2.232171,2.232218,0.081387,1.347407,-0.109386,1
B4_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,192,1.630403,2.551285,2.169511,2.16952,2.220161,2.220194,0.086756,1.102319,0.552521,2
B2C2-t_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,194,1.830888,3.806682,2.374631,2.386096,2.404468,2.413217,0.079053,1.257841,-0.102869,1
B2C2-t_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,195,1.745383,3.431454,2.181902,2.204258,2.241229,2.251661,0.07144,1.596313,-0.089669,0
B2C2-t_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,196,1.659098,3.050625,2.04746,2.047847,2.061555,2.062026,0.064082,2.098933,0.32143,2
B2C2-t_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,195,1.594058,2.943013,2.00157,2.002935,2.013907,2.015456,0.068868,1.739152,0.419531,2
B2C2-t_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,196,2.216023,1.216332,1.966129,2.027335,2.037082,2.215845,0.047198,4.470712,-0.438183,2
B2C2-t_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,191,1.504878,2.664561,1.946478,1.953219,1.953236,1.955908,0.076847,1.32828,0.637818,2
B2C2-t_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,192,1.531262,1.374156,1.81579,1.831982,2.001386,2.047687,0.077552,2.055829,-0.0632,0
B2C2-t_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,193,1.734177,1.266205,1.912798,1.936065,1.952648,2.016355,0.036899,4.230982,0.133526,1
B2C2-t_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,194,2.308074,1.210798,1.907913,1.946675,1.980494,2.139379,0.06505,4.083663,-0.481057,2
B2C2-t_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,195,1.533268,3.381669,2.260693,2.26141,2.275625,2.278381,0.11096,1.001184,-0.232264,2
B2C2-t_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,194,1.998726,4.146468,2.518692,2.52526,2.553114,2.553509,0.070973,1.610417,-0.134752,1
B2C2-t_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,195,1.893233,3.523515,2.176661,2.353247,2.393179,2.433754,0.076468,2.254802,0.052024,0
B2C2-t_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,196,1.802445,3.432217,2.169623,2.174876,2.187127,2.187583,0.057384,2.696788,0.172602,1
B2C2-t_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,197,1.715247,3.195901,2.077731,2.078105,2.098138,2.100471,0.059325,2.518035,0.117684,1
B2C2-t_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,196,1.671976,3.121375,2.063007,2.065547,2.068528,2.068906,0.063517,2.145111,0.386264,2
B2C2-t_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,197,1.645198,2.276941,1.982238,2.013178,2.130143,2.146379,0.068451,1.903426,0.300318,2
B2C2-t_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,198,1.597765,2.090348,1.978304,2.003974,2.139801,2.168812,0.076849,1.471058,0.183,1
B2C2-t_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,193,1.852742,1.149461,2.012147,2.059466,2.066466,2.239636,0.044435,4.071869,0.083377,0
B2C2-t_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,194,1.641522,3.385458,2.197397,2.22609,2.489051,2.776622,0.129454,1.045237,0.837957,2
B2C2-t_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,195,1.684024,3.867513,2.495335,2.502966,2.521949,2.539685,0.11321,1.000712,0.230038,2
B2C2-t_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,193,1.875006,3.436344,2.173416,2.346533,2.358999,2.37514,0.072461,2.255877,-0.123182,1
